activity_id,activity_name,wbs_code,planned_start,planned_finish,actual_start,actual_finish,duration_planned,duration_actual,progress_percent,status
CON-B04-WT-1170,Pouring for Top Slab (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,3-Jan-26,3-Jan-26,2-Jun-26,2-Jun-26,10,10,100%,
E-SUB-B03-3RD-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B03) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUP.3rdF,3-Jan-26,24-Jan-26,1-Feb-26,10-Feb-26,10,10,100%,
E-SUB-B01-3RD-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,3-Jan-26,24-Jan-26,1-Nov-25,15-Nov-25,10,10,100%,
AB-SUB-B02-FOOT-1020,Submittal for RC Raft & Footings RFT DWGs As-Built Drawing (B02) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.S.P02.B02.SUB.F,3-Jan-26,24-Jan-26,17-May-26,10-Jun-26,10,10,100%,
CON-B03-FOOT-1040,Shuttering for RC Raft & Footings (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,4-Jan-26,15-Jan-26,8-Jan-26,20-Jan-26,10,10,100%,
CON-B04-WT-1180,Curing & Desmantling Formwork for Top Slab (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,4-Jan-26,8-Jan-26,3-Jun-26,7-Jun-26,10,10,100%,
E-APP-B01-1ST-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.1stF,4-Jan-26,15-Jan-26,1-Feb-26,7-Feb-26,18,18,100%,
E-APP-B04-BAS01-1040,Approval for Slabs Conc. Dim.  & RFT DWGs (B04) (Bas 01),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUB.1stB,4-Jan-26,15-Jan-26,1-Mar-26,5-Mar-26,18,18,100%,
E-APP-B03-1ST-1010,Approval for Stairs Conc. Dim.  & RFT DWGs  (B03) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.1stF,4-Jan-26,15-Jan-26,1-Feb-26,25-Mar-26,18,18,100%,
AB-SUB-B04-WT-1040,Submittal for Slabs DWGs As-Built Drawing (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B04.SUB.2ndB.1,4-Jan-26,26-Jan-26,3-Jun-26,23-Jun-26,2,2,100%,
CON-B02-FOOT-1110,Bitumen Ins. for RC Raft & Footings (B02) (footing),The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.F,5-Jan-26,8-Jan-26,5-Jul-26,7-Jul-26,6,6,100%,
CON-B03-FOOT-1050,RFT for RC Raft & Footings (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,5-Jan-26,17-Jan-26,10-Jan-26,21-Jan-26,18,18,100%,
CON-B02-BAS02-1000,"Scaffolding works for Walls, Col. & Cores (B02) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.2ndB,5-Jan-26,13-Jan-26,19-Apr-26,27-Apr-26,18,18,100%,
CON-B02-BAS02-1010,"RFT for Walls, Col. & Cores (B02) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.2ndB,5-Jan-26,19-Jan-26,21-Apr-26,4-May-26,18,18,100%,
E-SUB-B04-1ST-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.1stF,5-Jan-26,27-Jan-26,20-May-26,14-Jun-26,10,10,100%,
E-SUB-B02-2ND-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B02) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUP.2ndF,5-Jan-26,27-Jan-26,20-May-26,14-Jun-26,10,10,100%,
E-APP-B02-1ST-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.1stF,5-Jan-26,17-Jan-26,1-Feb-26,9-Feb-26,10,10,100%,
E-APP-B04-GR-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (GF),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.GF,5-Jan-26,17-Jan-26,1-Feb-26,12-Feb-26,10,10,100%,
AB-APP-B01-FOOT-1020,Approval for RC Raft & Footings Conc. Dim. DWGs As-Built Drawing (B01),The Big - P.01 - UP-24-MAY-26.HO.1.A.P02.B01.SUB.F,5-Jan-26,19-Jan-26,4-Jun-26,17-Jun-26,8,6.8,85%,
AB-APP-B01-FOOT-1030,Approval for RC Raft & Footings RFT DWGs As-Built Drawing (B01),The Big - P.01 - UP-24-MAY-26.HO.1.A.P02.B01.SUB.F,5-Jan-26,19-Jan-26,4-Jun-26,17-Jun-26,2,2,100%,
P-MPOS-1080,P.O for Rebar Patch#3  (Basement 1),The Big - P.01 - UP-24-MAY-26.P.PC.PO.1,5-Jan-26,6-Jan-26,26-Nov-25,28-Nov-25,8,6.8,85%,
CON-B04-FOOT-1000,Shuttering for PC Raft (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,6-Jan-26,6-Jan-26,1-Dec-25,3-Dec-25,8,5.2,65%,
E-SUB-B03-3RD-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B03) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUP.3rdF,6-Jan-26,28-Jan-26,17-May-26,10-Jun-26,18,18,100%,
E-SUB-B01-3RD-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,6-Jan-26,28-Jan-26,17-May-26,10-Jun-26,18,18,100%,
AB-SUB-B04-REP-1000,Submittal for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs As-Built Drawing (B04),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B04.SUB.1,6-Jan-26,28-Jan-26,17-May-26,10-Jun-26,18,18,100%,
CON-B04-FOOT-1010,Pouring for PC Raft (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,8-Jan-26,8-Jan-26,22-Dec-25,23-Dec-25,10,10,100%,
E-APP-B01-1ST-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.1stF,8-Jan-26,19-Jan-26,11-Jun-26,22-Jun-26,10,10,100%,
E-APP-B03-1ST-1020,Approval for Beams Conc. Dim.  & RFT DWGs  (B03) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.1stF,8-Jan-26,19-Jan-26,11-Jun-26,22-Jun-26,10,10,100%,
AB-APP-B04-WT-1030,Approval for Col. & Walls DWGs As-Built Drawing (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B04.SUB.2ndF.WT,8-Jan-26,21-Jan-26,4-Jun-26,17-Jun-26,10,10,100%,
CON-B04-FOOT-1020,Curing for PC Raft (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,9-Jan-26,11-Jan-26,23-Dec-25,23-Dec-25,18,18,100%,
CON-B02-FOOT-1120,Soil Backfilling (B02) (footing),The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.F,10-Jan-26,11-Jan-26,8-Jul-26,9-Jul-26,18,18,100%,
CON-B02-BAS02-1020,"Shuttering for Walls, Col. & Cores (B02) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.2ndB,10-Jan-26,22-Jan-26,25-Apr-26,7-May-26,10,10,100%,
E-SUB-B04-2ND-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.2ndF,10-Jan-26,31-Jan-26,1-Jan-26,10-Feb-26,10,10,100%,
E-APP-B02-1ST-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B02) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.1stF,10-Jan-26,20-Jan-26,1-Feb-26,15-Feb-26,3,3,100%,
E-APP-B04-GR-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B04) (GF),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.GF,10-Jan-26,20-Jan-26,8-Feb-26,18-Feb-26,10,10,100%,
AB-SUB-B04-FOOT-1000,Submittal for PC Raft Conc. Dim. DWGs As-Built Drawing (B04) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B04.SUB.F,10-Jan-26,31-Jan-26,17-May-26,10-Jun-26,1,1,100%,
AB-APP-B03-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs As-Built Drawing (B03),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B03.SUB.4,10-Jan-26,22-Jan-26,4-Jun-26,17-Jun-26,3,3,100%,
AB-SUB-B02-FOOT-1030,Submittal for  Waterproofing Layout Plan DWGs As-Built Drawing (B02),The Big - P.01 - UP-24-MAY-26.HO.1.S.P02.B02.SUB.F,10-Jan-26,31-Jan-26,8-Jul-26,29-Jul-26,8,8,100%,
CON-B03-FOOT-1060,Shuttering for Columns & Walls Below SOG (B01) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,10-Jan-26,14-Jan-26,26-Jan-26,2-Mar-26,8,8,100%,
CON-B04-WT-1190,Clearing Surface & Insulation for Inner Side (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.3.2,11-Jan-26,15-Jan-26,10-Jun-26,15-Jun-26,3,3,100%,
E-SUB-B03-3RD-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B03) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUP.3rdF,11-Jan-26,1-Feb-26,20-May-26,14-Jun-26,2,2,100%,
E-SUB-B01-3RD-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.3rdF,11-Jan-26,1-Feb-26,20-May-26,14-Jun-26,8,5.2,65%,
E-APP-B01-1ST-1030,Approval for Slabs Conc. Dim.  & RFT DWGs (B01) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.1stF,11-Jan-26,21-Jan-26,14-Jun-26,24-Jun-26,2,1.3,65%,
E-APP-B01-2ND-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.2ndF,11-Jan-26,21-Jan-26,1-Feb-26,11-Feb-26,10,10,100%,
E-APP-B03-2ND-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs  (B03) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.2ndF,11-Jan-26,21-Jan-26,7-Jan-26,12-Feb-26,5,3.25,65%,
CON-B04-FOOT-1030,Waterproofing & Ins. Protection works (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,12-Jan-26,13-Jan-26,24-Dec-25,24-Dec-25,5,3.25,65%,
E-APP-B03-1ST-1030,Approval for Slabs Conc. Dim.  & RFT DWGs  (B03) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.1stF,12-Jan-26,22-Jan-26,15-Jun-26,25-Jun-26,18,18,100%,
AB-APP-B03-FOOT-1000,Approval for PC Raft Conc. Dim. DWGs As-Built Drawing (B03) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B03.SUB.1,12-Jan-26,26-Jan-26,4-Jun-26,17-Jun-26,12,12,100%,
CON-B03-FOOT-1070,RFT for Columns & Walls Below SOG (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,12-Jan-26,17-Jan-26,26-Jan-26,2-Mar-26,12,12,100%,
P-MDEL-1160,Delivery for Rebar Patch#3  (Basement 1),The Big - P.01 - UP-24-MAY-26.P.PC.DS.DR,12-Jan-26,13-Jan-26,5-May-26,17-May-26,4,4,100%,
E-SUB-B04-2ND-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B04) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.2ndF,13-Jan-26,3-Feb-26,1-Feb-26,21-Feb-26,2,2,100%,
E-APP-B02-1ST-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B02) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.1stF,13-Jan-26,24-Jan-26,11-Jun-26,22-Jun-26,7,7,100%,
E-APP-B04-GR-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B04) (GF),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.GF,13-Jan-26,24-Jan-26,11-Jun-26,22-Jun-26,12,2.4,20%,
AB-APP-B02-FOOT-1010,Approval for RC Raft & Footings Conc. Dim. DWGs As-Built Drawing (B02) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.A.P02.B02.SUB.F,13-Jan-26,27-Jan-26,4-Jun-26,17-Jun-26,12,2.4,20%,
CON-B04-FOOT-1040,Shuttering for RC Raft & Footings (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,14-Jan-26,22-Jan-26,10-Mar-26,19-May-26,1,0.6,60%,
E-SUB-B02-3RD-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUP.3rdF,14-Jan-26,4-Feb-26,25-Oct-25,13-Nov-25,2,1.5604,78.02%,
E-SUB-B01-4TH-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,14-Jan-26,4-Feb-26,1-Feb-26,3-Feb-26,5,0,0%,
E-APP-B01-2ND-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.2ndF,14-Jan-26,26-Jan-26,1-Feb-26,7-Feb-26,18,0,0%,
E-APP-B03-2ND-1010,Approval for Stairs Conc. Dim.  & RFT DWGs  (B03) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.2ndF,14-Jan-26,26-Jan-26,1-Feb-26,25-Mar-26,18,0,0%,
CON-B04-FOOT-1050,RFT for RC Raft & Footings (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,15-Jan-26,24-Jan-26,10-Mar-26,19-May-26,18,0,0%,
CON-B01-BAS02-1030,"Pouring for Walls, Col. & Cores (B01) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,17-Jan-26,18-Jan-26,15-Jun-26,17-Jun-26,18,0,0%,
E-SUB-B04-2ND-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B04) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.2ndF,17-Jan-26,7-Feb-26,17-May-26,10-Jun-26,18,0,0%,
E-APP-B02-1ST-1030,Approval for Slabs Conc. Dim.  & RFT DWGs (B02) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.1stF,17-Jan-26,28-Jan-26,15-Jun-26,25-Jun-26,18,0,0%,
E-APP-B02-2ND-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B02) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.2ndF,17-Jan-26,28-Jan-26,1-Feb-26,9-Feb-26,18,0,0%,
E-APP-B04-GR-1030,Approval for Slabs Conc. Dim.  & RFT DWGs (B04) (GF),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.GF,17-Jan-26,28-Jan-26,15-Jun-26,25-Jun-26,18,0,0%,
E-APP-B04-1ST-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.1stF,17-Jan-26,28-Jan-26,1-Feb-26,12-Feb-26,18,0,0%,
AB-SUB-B03-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs As-Built Drawing (B03) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B03.SUB.F,17-Jan-26,7-Feb-26,17-May-26,10-Jun-26,18,0,0%,
CON-B03-FOOT-1080,Pouring for RC Raft & Footings (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,18-Jan-26,18-Jan-26,21-Jan-26,21-Jan-26,18,0,0%,
E-SUB-B02-3RD-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B02) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUP.3rdF,18-Jan-26,8-Feb-26,19-Oct-25,8-Nov-25,18,0,0%,
E-SUB-B01-4TH-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,18-Jan-26,8-Feb-26,1-Nov-25,15-Nov-25,18,0,0%,
E-APP-B01-2ND-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.2ndF,18-Jan-26,29-Jan-26,11-Jun-26,22-Jun-26,18,0,0%,
E-APP-B03-2ND-1020,Approval for Beams Conc. Dim.  & RFT DWGs  (B03) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.2ndF,18-Jan-26,29-Jan-26,11-Jun-26,22-Jun-26,18,0,0%,
AB-APP-B02-FOOT-1020,Approval for RC Raft & Footings RFT DWGs As-Built Drawing (B02) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.A.P02.B02.SUB.F,18-Jan-26,1-Feb-26,4-Jun-26,17-Jun-26,18,0,0%,
CON-B03-FOOT-1090,Pouring Columns & Walls Below SOG (B01) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,18-Jan-26,18-Jan-26,2-Mar-26,3-Mar-26,18,0,0%,
CON-B03-FOOT-1100,Curing & Deshuttering for RC Raft & Footings (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,19-Jan-26,21-Jan-26,4-Mar-26,7-Mar-26,18,0,0%,
CON-B01-BAS02-1040,Shuttering for Slabs & Beams (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,19-Jan-26,31-Jan-26,17-Jun-26,29-Jun-26,18,0,0%,
E-SUB-B03-4TH-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B03) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUP.4thF,19-Jan-26,9-Feb-26,1-Jan-26,10-Feb-26,18,0,0%,
AB-SUB-B03-FOOT-1020,Submittal for RC Raft & Footings RFT DWGs As-Built Drawing (B03) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B03.SUB.F,19-Jan-26,9-Feb-26,17-May-26,10-Jun-26,18,0,0%,
AB-SUB-B01-BAS2-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs As-Built Drawing (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.HO.1.S.P02.B01.SUB.2ndB,19-Jan-26,9-Feb-26,17-Jun-26,9-Jul-26,18,0,0%,
AB-APP-B04-WT-1040,Approval for Slabs DWGs As-Built Drawing (B04) (Water Tank),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B04.SUB.2ndF.WT,19-Jan-26,2-Feb-26,17-Jun-26,1-Jul-26,18,0,0%,
E-SUB-B04-2ND-1030,Submittal for Slabs Conc. Dim.  & RFT DWGs (B04) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.2ndF,20-Jan-26,10-Feb-26,20-May-26,14-Jun-26,18,0,0%,
E-APP-B02-2ND-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B02) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.2ndF,20-Jan-26,1-Feb-26,1-Feb-26,15-Feb-26,18,0,0%,
E-APP-B04-1ST-1010,Approval for Stairs Conc. Dim.  & RFT DWGs (B04) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.1stF,20-Jan-26,1-Feb-26,8-Feb-26,18-Feb-26,18,0,0%,
CON-B04-FOOT-1060,Shuttering for Columns & Walls Below SOG (B01) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,20-Jan-26,26-Jan-26,10-Mar-26,18-May-26,18,0,0%,
CON-B01-BAS02-1050,Shuttering for Stairs  (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,21-Jan-26,31-Jan-26,20-Jun-26,29-Jun-26,18,0,0%,
E-SUB-B02-3RD-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B02) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B02.SUP.3rdF,21-Jan-26,11-Feb-26,17-May-26,10-Jun-26,18,0,0%,
E-SUB-B01-4TH-1020,Submittal for Beams Conc. Dim.  & RFT DWGs (B01) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.4thF,21-Jan-26,11-Feb-26,17-May-26,10-Jun-26,18,0,0%,
E-APP-B01-2ND-1030,Approval for Slabs Conc. Dim.  & RFT DWGs (B01) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.2ndF,21-Jan-26,2-Feb-26,15-Jun-26,25-Jun-26,18,0,0%,
E-APP-B01-3ED-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B01.SUP.3rdF,21-Jan-26,2-Feb-26,1-Feb-26,11-Feb-26,18,0,0%,
E-APP-B03-2ND-1030,Approval for Slabs Conc. Dim.  & RFT DWGs  (B03) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.2ndF,21-Jan-26,2-Feb-26,15-Jun-26,25-Jun-26,10,0,0%,
E-APP-B03-3RD-1000,Approval for Col. & Walls Conc. Dim.  & RFT DWGs  (B03) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B03.SUP.3rdF,21-Jan-26,2-Feb-26,7-Jan-26,12-Feb-26,18,0,0%,
CON-B01-BAS02-1060,Shuttering for  Ramps (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,21-Jan-26,2-Feb-26,20-Jun-26,2-Jul-26,18,0,0%,
AB-APP-B04-REP-1000,Approval for General Replacement Plan & Typical Sections for Replacement / Backfilling DWGs As-Built Drawing (B04),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B04.SUB.1,21-Jan-26,4-Feb-26,4-Jun-26,17-Jun-26,18,0,0%,
CON-B04-FOOT-1070,RFT for Columns & Walls Below SOG (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,21-Jan-26,27-Jan-26,10-Mar-26,18-May-26,10,0,0%,
CON-B03-FOOT-1110,Bitumen Ins. for RC Raft & Footings (B03) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.F,22-Jan-26,26-Jan-26,5-Jul-26,7-Jul-26,10,0,0%,
CON-B01-BAS02-1070,RFT for Slabs & Beams (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,22-Jan-26,3-Feb-26,21-Jun-26,4-Jul-26,49,0,0%,
CON-B03-BAS02-1000,"Scaffolding works for Walls, Col. & Cores (B03) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.2ndB,22-Jan-26,29-Jan-26,15-Feb-26,21-Feb-26,2,0,0%,
CON-B03-BAS02-1010,"RFT for Walls, Col. & Cores (B03) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUB.2ndB,22-Jan-26,5-Feb-26,5-Mar-26,11-Mar-26,18,0,0%,
E-SUB-B03-4TH-1010,Submittal for Stairs Conc. Dim.  & RFT DWGs (B03) (4th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B03.SUP.4thF,22-Jan-26,12-Feb-26,1-Feb-26,10-Feb-26,18,0,0%,
CON-B01-BAS02-1080,RFT for Stairs (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,24-Jan-26,31-Jan-26,22-Jun-26,29-Jun-26,18,0,0%,
CON-B02-BAS02-1030,"Pouring for Walls, Col. & Cores (B02) (Bas 02)",The Big - P.01 - UP-24-MAY-26.CON.P02.B02.SUB.2ndB,24-Jan-26,26-Jan-26,9-May-26,10-May-26,18,0,0%,
E-SUB-B04-3RD-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B04) (3rd),The Big - P.01 - UP-24-MAY-26.EN.2.S.P01.B04.SUP.3rdF,24-Jan-26,14-Feb-26,1-Jan-26,10-Feb-26,18,0,0%,
E-SUB-B01-5TH-1000,Submittal for Col. & Walls Conc. Dim.  & RFT DWGs (B01) (5th),The Big - P.01 - UP-24-MAY-26.EN.2.S.P02.B01.SUP.5thF,24-Jan-26,14-Feb-26,1-Feb-26,3-Feb-26,18,0,0%,
E-APP-B02-2ND-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B02) (2nd),The Big - P.01 - UP-24-MAY-26.EN.2.A.P02.B02.SUP.2ndF,24-Jan-26,4-Feb-26,11-Jun-26,22-Jun-26,18,0,0%,
E-APP-B04-1ST-1020,Approval for Beams Conc. Dim.  & RFT DWGs (B04) (1st),The Big - P.01 - UP-24-MAY-26.EN.2.A.P01.B04.SUP.1stF,24-Jan-26,4-Feb-26,11-Jun-26,22-Jun-26,18,0,0%,
CON-B01-BAS02-1090,RFT for Ramps (B01) (Bas 02),The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUB.2ndB,24-Jan-26,2-Feb-26,22-Jun-26,2-Jul-26,18,0,0%,
AB-SUB-B04-FOOT-1010,Submittal for RC Raft & Footings Conc. Dim. DWGs As-Built Drawing (B04) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.S.P01.B04.SUB.F,24-Jan-26,14-Feb-26,19-May-26,14-Jun-26,18,0,0%,
AB-APP-B04-FOOT-1000,Approval for PC Raft Conc. Dim. Conc. Dim.  & RFT DWGs As-Built Drawing  (B04) (footing),The Big - P.01 - UP-24-MAY-26.HO.1.A.P01.B04.SUB.F,24-Jan-26,7-Feb-26,4-Jun-26,17-Jun-26,18,0,0%,
AB-APP-B02-FOOT-1030,Approval for  Waterproofing Layout Plan DWGs As-Built Drawing  (B02),The Big - P.01 - UP-24-MAY-26.HO.1.A.P02.B02.SUB.F,24-Jan-26,7-Feb-26,22-Jul-26,5-Aug-26,18,0,0%,
CON-B04-FOOT-1080,Pouring for RC Raft & Footings (B04) (footing),The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUB.1,26-Jan-26,27-Jan-26,12-Mar-26,17-May-26,18,0,0%,
